SR,ITEM_CODE,PARENT_ID,DESIGN_CODE,CATEGORY,SUB_CATEGORY,,DIAMOND_TYPE,SHAPE,COLOR,CLARITY,SETTING_TYPE,PIECES,SIZE_MIN,SIZE_MAX,TOTAL_WGT,,METAL_TYPE,METAL_STAMP,APPX_WEIGHT,,NATURAL_PRICE,NATURAL_OFFER_PRICE,LAB_PRICE,LAB_OFFER_PRICE,VARIANT_TAXABLE,,Rings_SIZE,GENDER,IS_ENGRAVING,SHIPMENT_DAYS,MATCHING_ITEMCODE,,IMG1,IMG2,IMG3,IMG4,IMG5,VIDEO,,TITLE,LONG_DESC,SHORT_DESC,COLLECTIONS,OCCASIONS,TAGS,PUBLISHED,SLUG
289,ESRG126,,SE_CU_110,Earring,Earring,,Center,Cushion,,,Solitier,,0.8,0.8,,,Rose Gold,14K,1.49,,526,,290,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG126/ESRG126-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.0175,0.0175,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,ESWG126,ESWG126,SE_CU_110,Earring,Earring,,Center,Cushion,,,Solitier,,0.8,0.8,,,White Gold,14K,1.49,,526,,290,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG126/ESWG126-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.0175,0.0175,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,ESYG126,ESWG126,SE_CU_110,Earring,Earring,,Center,Cushion,,,Solitier,,0.8,0.8,,,Yellow Gold,14K,1.49,,526,,290,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG126/ESYG126-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
,,,,,,,side,Round,D-F,VS-VVS,,28,0.0175,0.0175,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,ESRG118,,SE_RD_100,Earring,Earring,,Center,Round,,,Solitier,,0.5,4,,,Rose Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG118/ESRG118-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
293,ESWG118,ESWG118,SE_RD_100,Earring,Earring,,Center,Round,,,Solitier,,0.5,4,,,White Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG118/ESWG118-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
294,ESYG118,ESWG118,SE_RD_100,Earring,Earring,,Center,Round,,,Solitier,,0.5,4,,,Yellow Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG118/ESYG118-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
295,ESRG119,,SE_RD_101,Earring,Earring,,Center,Round,,,Solitier,,0.3,3,,,Rose Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG119/ESRG119-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
296,ESWG119,ESWG119,SE_RD_101,Earring,Earring,,Center,Round,,,Solitier,,0.3,3,,,White Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-01.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-02.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-03.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-04.png,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESWG119/ESWG119-V1.mp4,,14 White Gold Beautiful Diamond Earring,,,,,,,
297,ESYG119,ESWG119,SE_RD_101,Earring,Earring,,Center,Round,,,Solitier,,0.3,3,,,Yellow Gold,14K,1,,110,,110,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-01.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-02.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-03.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-04.png,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESYG119/ESYG119-V1.mp4,,14 Yellow Gold Beautiful Diamond Earring,,,,,,,
298,ESRG120,,SE_RD_102,Earring,Earring,,Center,Round,,,Solitier,,0.4,4,,,Rose Gold,14K,1,,130,,130,,,,,,,,,,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-01.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-02.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-03.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-04.png,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-05.jpg,https://bellamy.blob.core.windows.net/bellamy/ESRG120/ESRG120-V1.mp4,,14 Rose Gold Beautiful Diamond Earring,,,,,,,
